Date,Close,High,Low,Open,Volume
2025-01-21,33.58,34.42,32.39,33.22,60897500.0,
2025-01-22,35.04,36.03,34.3,34.58,57709400.0,
2025-01-23,34.81,34.81,32.9,33.33,44900600.0,
2025-01-24,32.54,34.83,32.2,34.83,60111500.0,
2025-01-27,24.98,27.99,23.76,27.57,198431800.0,
2025-01-28,25.29,25.72,23.67,25.36,103185300.0,
2025-01-29,25.6,26.21,24.77,26.02,94141700.0,
2025-01-30,27.06,27.58,26.05,26.49,87140400.0,
2025-01-31,26.93,29.15,26.61,27.54,102622500.0,
2025-02-03,25.53,26.4,24.23,24.72,103914300.0,
2025-02-04,26.16,26.51,25.12,25.26,60520500.0,
2025-02-05,27.61,27.86,25.46,26.0,70330700.0,
2025-02-06,27.6,27.71,26.63,27.08,59735100.0,
2025-02-07,26.24,28.19,25.72,27.78,87930800.0,
2025-02-10,27.26,27.46,26.81,26.83,53330500.0,
2025-02-11,27.31,27.81,26.59,26.59,43880500.0,
2025-02-12,27.45,27.45,25.86,26.09,57999300.0,
2025-02-13,28.38,28.46,27.31,27.4,61026300.0,
2025-02-14,28.46,28.73,28.02,28.4,43089600.0,
2025-02-18,29.89,30.13,28.62,29.1,60222200.0,
2025-02-19,31.37,31.79,29.66,30.09,58412700.0,
2025-02-20,31.6,32.53,30.6,31.96,50903200.0,
2025-02-21,28.72,31.86,28.31,31.81,61966500.0,
2025-02-24,26.67,29.16,26.57,29.06,63724100.0,
2025-02-25,24.99,26.83,24.74,26.57,90907500.0,
2025-02-26,26.2,26.91,25.44,25.9,75869500.0,
2025-02-27,21.68,26.81,21.66,26.69,144841600.0,
2025-02-28,22.65,23.14,20.95,21.73,110939400.0,
2025-03-03,20.44,23.65,19.64,23.64,141822100.0,
2025-03-04,20.58,22.19,18.94,20.21,154119800.0,
2025-03-05,21.88,22.09,20.05,21.18,117702400.0,
2025-03-06,19.17,20.95,18.95,19.64,164277600.0,
2025-03-07,20.81,21.02,18.69,19.43,139349200.0,
2025-03-10,17.93,19.73,17.04,19.28,169215200.0,
2025-03-11,17.35,18.44,16.45,17.99,161267000.0,
2025-03-12,18.24,19.05,17.84,18.48,137654500.0,
2025-03-13,18.03,19.21,17.52,18.32,117160200.0,
2025-03-14,19.73,19.86,18.93,19.0,99718700.0,
2025-03-17,20.72,21.21,19.43,19.44,82794200.0,
2025-03-18,19.86,20.33,19.45,20.12,79140900.0,
2025-03-19,20.31,21.3,19.39,19.82,83249700.0,
2025-03-20,19.86,20.5,19.52,19.54,80380600.0,
2025-03-21,19.22,19.42,18.31,18.76,84348300.0,
2025-03-24,20.93,21.3,20.3,20.41,91671300.0,
2025-03-25,20.54,21.02,20.35,20.82,57784400.0,
2025-03-26,18.79,20.51,18.2,20.29,94328400.0,
2025-03-27,17.76,18.4,17.36,18.17,103112800.0,
2025-03-28,16.03,17.59,15.73,17.32,138232400.0,
2025-03-31,15.94,15.97,14.39,15.06,111345600.0,
2025-04-01,15.94,15.98,14.82,15.72,106085000.0,
2025-04-02,16.26,16.88,15.02,15.18,141655200.0,
2025-04-03,11.4,14.11,11.39,13.81,302517400.0,
2025-04-04,8.72,10.43,8.18,10.05,499158100.0,
2025-04-07,9.14,10.97,7.23,7.88,723467300.0,
2025-04-08,8.25,10.84,7.59,10.4,488735500.0,
2025-04-09,12.77,13.1,8.23,8.47,787748800.0,
2025-04-10,9.63,11.14,8.35,10.92,686331800.0,
2025-04-11,10.22,10.39,8.9,9.35,412972900.0,
2025-04-14,10.47,11.15,9.97,11.14,358849500.0,
2025-04-15,10.6,11.02,10.4,10.6,230001400.0,
2025-04-16,9.34,9.75,8.32,9.13,362439300.0,
2025-04-17,9.19,9.55,8.89,9.55,233659100.0,
2025-04-21,8.71,8.73,8.14,8.67,255318100.0,
2025-04-22,9.18,9.39,8.85,8.96,249211900.0,
2025-04-23,10.28,10.89,10.1,10.57,368456100.0,
2025-04-24,12.0,12.09,10.85,11.05,339636700.0,
2025-04-25,12.34,12.59,11.51,11.63,274438500.0,
2025-04-28,12.28,12.52,11.44,12.15,203468900.0,
2025-04-29,11.85,12.27,11.61,11.81,184045100.0,
2025-04-30,12.15,12.21,10.75,10.98,229393200.0,
2025-05-01,12.1,12.81,12.05,12.53,203349500.0,
2025-05-02,13.28,13.68,12.89,12.89,223410600.0,
2025-05-05,13.05,13.4,12.86,12.93,127572300.0,
2025-05-06,12.64,12.94,12.11,12.32,158548700.0,
2025-05-07,13.27,13.39,12.22,12.6,189249300.0,
2025-05-08,13.65,14.34,13.38,13.84,203277000.0,
2025-05-09,14.1,14.47,13.73,14.21,149644500.0,
2025-05-12,17.12,17.46,16.5,16.88,263806000.0,
2025-05-13,18.6,18.86,17.28,17.36,212931800.0,
2025-05-14,18.84,19.37,18.43,18.96,179343100.0,
2025-05-15,18.46,18.9,17.81,18.31,141287600.0,
